0.4	905.48	903.64
0.5	499.86	498.2
1	178.88	177.71
2	132.66	131.98
3	134.19	134.49
5	150.86	152.61
7	169.32	172.21
10	195.68	199.63
15	232.53	238.64
20	261.46	267.9
30	303.6	313.23
50	354.01	367.36
100	411.97	429.86
200	450.09	471.14
500	475.85	496.61
1000	485.43	505.87
